# B1,B2,B3,B4,B5
7.3810e-01,7.4019e-01,7.3881e-01,7.3976e-01,7.3892e-01
7.6666e-01,7.6219e-01,7.5550e-01,7.5380e-01,7.5376e-01
2.8550e-01,3.3164e-01,3.3596e-01,3.3633e-01,3.3620e-01
6.5615e-01,5.9484e-01,5.2563e-01,4.4431e-01,4.2755e-01
9.9621e-02,6.2157e-02,5.1660e-02,4.9496e-02,4.9464e-02
7.5358e-01,7.5847e-01,7.5972e-01,7.6008e-01,7.5994e-01
8.1343e-01,8.3059e-01,8.3351e-01,8.3418e-01,8.3419e-01
5.9921e-01,5.7541e-01,5.4520e-01,5.4366e-01,5.4372e-01
8.9611e-01,9.6943e-01,9.7960e-01,9.8108e-01,9.8116e-01
8.0005e-01,8.1136e-01,8.2860e-01,8.2948e-01,8.4288e-01
3.4352e-01,3.5579e-01,3.5963e-01,3.5949e-01,3.5980e-01
7.6912e-01,7.6036e-01,7.3369e-01,7.3346e-01,7.2134e-01
1.9894e-01,1.9551e-01,1.9345e-01,1.9242e-01,1.9236e-01
1.3346e-01,9.3270e-02,8.5914e-02,8.2691e-02,8.2678e-02
7.6967e-01,7.7301e-01,7.7240e-01,7.7189e-01,7.7187e-01
7.9670e-01,8.1989e-01,8.2416e-01,8.2487e-01,8.2486e-01
2.3294e-01,2.0718e-01,1.9735e-01,1.9480e-01,1.9431e-01
3.4776e-01,3.8683e-01,3.8799e-01,3.8784e-01,3.8851e-01
8.1734e-01,8.3375e-01,8.2912e-01,8.3016e-01,8.1172e-01
2.3795e-01,2.5811e-01,2.6166e-01,2.6238e-01,2.6298e-01
5.5809e-01,4.9194e-01,4.8271e-01,4.8059e-01,4.4863e-01
2.3916e-01,2.6840e-01,2.8414e-01,2.8495e-01,2.8569e-01
6.1168e-01,5.7717e-01,5.7681e-01,5.7623e-01,5.7661e-01
2.6830e-01,3.2022e-01,3.2563e-01,3.2475e-01,3.2466e-01
3.1531e-01,3.2605e-01,3.2895e-01,3.2684e-01,3.2676e-01
8.9260e-01,9.6786e-01,9.7926e-01,9.8100e-01,9.8100e-01
6.0069e-01,5.6003e-01,5.3920e-01,4.9751e-01,4.7197e-01
7.1585e-01,6.8991e-01,6.7787e-01,6.7747e-01,6.7738e-01
7.3309e-01,7.1481e-01,7.0914e-01,7.0785e-01,7.0644e-01
1.3864e-01,1.4982e-01,1.5996e-01,1.5842e-01,1.5322e-01
5.2914e-01,5.2356e-01,5.1942e-01,5.1536e-01,5.1343e-01
9.1712e-02,5.1903e-02,3.7703e-02,3.5697e-02,3.5661e-02
8.8708e-01,8.4933e-01,8.4416e-01,8.4411e-01,8.3452e-01
3.5593e-01,3.5555e-01,3.5692e-01,3.5515e-01,3.5407e-01
8.2532e-01,8.9393e-01,9.1529e-01,9.1763e-01,9.1806e-01
2.6542e-01,2.2890e-01,2.1877e-01,2.1750e-01,2.1708e-01
3.1530e-01,2.9737e-01,2.9488e-01,2.9346e-01,2.9305e-01
9.0628e-01,9.6421e-01,9.7219e-01,9.7330e-01,9.7332e-01
2.5089e-01,2.5016e-01,2.5069e-01,2.5058e-01,2.5055e-01
2.1977e-01,2.2603e-01,2.2604e-01,2.2427e-01,2.2444e-01
9.8201e-02,5.8722e-02,4.4975e-02,4.3239e-02,4.3207e-02
2.1253e-01,1.3488e-01,1.0065e-01,9.8658e-02,9.3607e-02
3.1947e-01,2.9931e-01,2.8912e-01,2.8042e-01,2.7995e-01
5.2375e-01,3.3856e-01,2.4229e-01,2.2612e-01,2.1498e-01
5.7634e-01,5.3415e-01,4.7024e-01,4.6466e-01,4.4475e-01
2.7859e-01,3.6574e-01,3.7839e-01,3.8042e-01,3.8084e-01
4.4696e-01,5.5117e-01,5.5475e-01,5.5509e-01,5.5543e-01
5.4641e-01,4.6048e-01,3.8418e-01,3.7025e-01,3.5097e-01
2.8910e-01,3.3592e-01,3.3850e-01,3.3733e-01,3.3708e-01
4.3124e-01,4.6535e-01,5.0162e-01,5.3222e-01,5.3248e-01
5.0339e-01,5.0050e-01,5.0119e-01,5.0048e-01,5.0675e-01
5.2595e-01,6.1068e-01,6.4562e-01,6.7731e-01,6.8615e-01
3.1960e-01,3.3489e-01,3.5933e-01,3.5942e-01,3.6263e-01
7.3903e-01,7.4225e-01,7.3067e-01,6.9137e-01,6.7648e-01
4.0855e-01,4.2548e-01,4.2058e-01,4.1745e-01,4.1263e-01
6.4289e-01,7.0209e-01,7.1578e-01,7.0952e-01,7.0350e-01
5.0633e-01,4.3221e-01,4.2773e-01,4.2611e-01,4.2269e-01
3.7218e-01,3.7181e-01,3.7127e-01,3.6945e-01,3.6895e-01
7.3187e-01,7.2992e-01,7.3409e-01,7.3426e-01,7.3493e-01
6.8866e-01,6.4813e-01,5.8543e-01,5.5486e-01,5.3928e-01
