Problem,Feedback,n,Block,Ha,pHa,La,Hb,pHb,Lb,LotShapeB,LotNumB,Amb,Corr,bRate,bRate_std,EVA,LotShapeA,LotNumA
1,True,15,2,26,0.95,-1,23,0.05,21,-,1,0,0,0.6266666666666667,0.3844600418893019,18,Symm,3
2,True,15,4,14,0.6,-18,8,0.25,-5,-,1,1,-1,0.4933333333333334,0.4131182235954578,-10,-,1
3,True,17,4,2,0.5,0,1,1.0,1,-,1,0,0,0.611764705882353,0.4328428596805896,-5,-,1
4,True,18,3,37,0.05,8,87,0.25,-31,Symm,2,0,0,0.2222222222222222,0.3873827041533013,27,L-skew,7
5,False,15,1,26,1.0,26,45,0.75,-36,R-skew,5,0,0,0.5866666666666667,0.4501851470969101,-5,L-skew,6
6,True,15,4,28,1.0,28,33,0.01,28,R-skew,3,1,0,0.8,0.3545621041711673,12,Symm,5
7,False,15,1,-6,1.0,-6,24,0.2,-5,Symm,2,0,0,0.8666666666666667,0.3518657752744984,-9,-,1
7,True,16,3,-6,1.0,-6,24,0.2,-5,Symm,2,0,0,0.9625,0.15,-9,R-skew,8
8,False,15,1,27,1.0,27,89,0.5,-24,-,1,0,0,0.4533333333333333,0.4033195589934446,-9,Symm,7
8,True,16,2,27,1.0,27,89,0.5,-24,-,1,0,0,0.6125,0.4349329450233295,29,R-skew,3
9,True,18,3,94,0.25,-38,-8,0.05,-9,L-skew,3,0,0,0.1666666666666666,0.2930569107548506,29,-,1
10,False,15,1,1,1.0,1,59,0.05,0,-,1,1,0,0.7733333333333333,0.4061433010064071,19,-,1
10,True,15,4,1,1.0,1,59,0.05,0,-,1,1,0,0.8533333333333334,0.277402921672395,-1,-,1
11,True,15,4,-4,1.0,-4,38,0.1,-5,Symm,6,0,0,0.6533333333333332,0.3888934240098375,-5,L-skew,5
12,True,17,3,-3,1.0,-3,-2,0.99,-13,R-skew,7,1,0,0.6352941176470589,0.4076474832354976,-3,-,1
13,True,15,2,9,1.0,9,48,0.05,7,-,1,0,0,0.7866666666666667,0.324844285041017,-10,-,1
14,True,15,2,14,0.5,12,42,0.1,14,L-skew,4,0,0,0.8133333333333332,0.3067494712224262,22,-,1
15,True,19,4,42,0.5,-34,8,0.2,7,-,1,0,0,0.5368421052631579,0.4271488503447916,21,L-skew,4
16,True,17,4,35,0.4,-13,33,0.6,-43,Symm,6,0,0,0.6823529411764706,0.4585783658733356,-6,Symm,9
17,False,16,1,-5,1.0,-5,23,0.01,-13,Symm,6,0,0,0.325,0.3991657967979388,-6,-,1
18,True,15,3,2,1.0,2,48,0.4,-8,-,1,1,0,0.5866666666666667,0.4172472146045293,28,-,1
19,True,15,3,6,1.0,6,17,0.01,3,-,1,0,0,0.36,0.4222389303293981,-5,-,1
20,False,16,1,0,1.0,0,63,0.25,-27,-,1,0,0,0.575,0.443471156521669,22,R-skew,5
21,False,16,1,-9,1.0,-9,36,0.01,-2,R-skew,4,1,0,0.9375,0.1408308678285174,-8,L-skew,3
22,True,15,5,24,1.0,24,72,0.4,-12,-,1,0,0,0.3733333333333333,0.3990464825532174,25,-,1
23,True,18,5,15,1.0,15,39,0.6,-25,-,1,0,0,0.5333333333333333,0.4172740670816047,-6,-,1
24,True,15,2,-7,1.0,-7,67,0.25,-26,R-skew,3,1,0,0.6000000000000001,0.4,9,-,1
25,False,16,1,21,1.0,21,99,0.4,-30,Symm,4,1,0,0.3875000000000001,0.3827531841800928,20,-,1
25,True,16,5,21,1.0,21,99,0.4,-30,Symm,4,1,0,0.6,0.3723797345005051,12,Symm,7
